Days,Days,du,airport,gabtoli,gulshan,jatrabari,mdpur,mirpur10,motijhil,old dhaka,tejgoan,,,,,,,,,,,,,,,
Thu,104,295.28125,175.53125,306.8,310.7894737,392.6105263,367.9270833,400.6770833,364.8541667,461.4479167,310.09375,,,,,,,,,,,,,,,
Fri,105,324.6145833,175.4479167,294.9052632,292.3052632,373.0210526,386.7604167,265.25,382.0833333,492.40625,332.375,,,,,,,,,,,,,,,
Sat,106,331.8020833,174.9270833,300.1157895,298.8105263,384.5789474,461,398.59375,401.1041667,513.0833333,356.9166667,,,,,,,,,,,,,,,
Sun,107,325.5104167,175.75,303.8842105,308.2105263,382.1157895,461,259.5625,395.21875,509.9166667,350.6354167,,,,,,,,,,,,,,,
Mon,108,312,176.1666667,306.1263158,307.1157895,383.0842105,461,390.1458333,266.65625,509.1875,353.375,,,,,,,,,,,,,,,
Tue,109,334.53125,176.8854167,308.1157895,309.7157895,387.5578947,461,261.3854167,273,514.7395833,352.40625,,,,,,,,,,,,,,,
Wed,110,322.2708333,165.2708333,305.9263158,307.9157895,383.7157895,461,397.09375,273,515.2708333,354.8854167,,,,,,,,,,,,,,,
Thu,111,295.28125,175.90625,306.4631579,309.2736842,390.9368421,461,259.9895833,273,461.4270833,310.0104167,,,,,,,,,,,,,,,
Fri,112,324.6145833,175.59375,296.1684211,293.8947368,375.8421053,461,390.9375,273,492.1770833,332.9583333,,,,,,,,,,,,,,,
Sat,113,331.8229167,174.5104167,298.8315789,297.3578947,383.0526316,461,256,273,513.0833333,356.7291667,,,,,,,,,,,,,,,
Sun,114,325.5104167,175.03125,303.4631579,306.1368421,382.7789474,461,398.8958333,273,509.9166667,352.3541667,,,,,,,,,,,,,,,
Mon,115,312,175.3333333,306.1263158,306.0526316,383.9157895,461,264.25,273,509.1875,352.7708333,,,,,,,,,,,,,,,
Tue,116,334.53125,174.5729167,308.1684211,309.6631579,387.4105263,461,400.125,273,514.6041667,354.25,,,,,,,,,,,,,,,
Wed,117,322.2708333,208,306.5263158,307.2736842,385.1578947,461,261.2395833,273,515.2708333,353.53125,,,,,,,,,,,,,,,
Thu,118,295.2604167,208,306.2947368,308.8736842,391.2631579,461,400.6770833,273,461.4270833,309.9791667,,,,,,,,,,,,,,,
Fri,119,324.6145833,175.9166667,298.2421053,295.8,379.6105263,461,285.3333333,273,492.40625,332.6354167,,,,,,,,,,,,,,,
Sat,120,333.0625,175.1666667,298.1052632,297.7894737,380.1789474,406.15625,317.8229167,402.75,514.40625,459.0625,,,,,,,,,,,,,,,
Sun,121,325.4895833,175.7083333,303.6736842,305.5578947,395.7263158,400.375,326.28125,399.7083333,509.7916667,452.7291667,,,,,,,,,,,,,,,
Mon,122,312,176.28125,306.1789474,305.5157895,400.3052632,402.46875,333.8958333,402.6041667,509.1875,452.8333333,,,,,,,,,,,,,,,
Tue,123,334.5208333,177.0625,308.4421053,310,406.3368421,403.5833333,328.9270833,402.0729167,514.7395833,458.1041667,,,,,,,,,,,,,,,
Wed,124,322.2708333,165.1875,306.7894737,307.9052632,407.2842105,400.9375,332.9895833,396.4166667,515.2708333,456,,,,,,,,,,,,,,,
Thu,125,295.2708333,176.09375,306.2210526,310.3473684,408.6421053,367.8229167,331.8020833,367.2083333,461.375,399.9375,,,,,,,,,,,,,,,
Fri,126,324.6145833,176.2708333,300.6736842,297.2,403.3684211,390.40625,332.2708333,386.2604167,492.40625,428.4791667,,,,,,,,,,,,,,,
Sat,127,331.8229167,174.6458333,297.3157895,296.6421053,397.2,404.7395833,317.8229167,404.1979167,513.0833333,461.2708333,,,,,,,,,,,,,,,
Sun,128,325.5104167,175.7083333,303.1157895,308.5157895,402.5473684,401.5208333,326.28125,399.7083333,509.9166667,454.46875,,,,,,,,,,,,,,,
Mon,129,312,175.6875,306.0842105,306.5052632,400.4,402.46875,333.8958333,400.78125,509.1875,454.625,,,,,,,,,,,,,,,
Tue,130,334.5208333,177.4895833,308.5894737,309.6105263,406.3157895,404.9375,328.9270833,403.8958333,514.7395833,458.1041667,,,,,,,,,,,,,,,
Wed,131,322.2708333,165.1875,307.3052632,309.1789474,406.8315789,400.9375,332.9895833,398.1979167,515.1770833,457.6041667,,,,,,,,,,,,,,,
Thu,132,295.28125,176.09375,305.8315789,308.8526316,407.9578947,367.8229167,331.8020833,367.2083333,461.4479167,399.9375,,,,,,,,,,,,,,,
